Wall time,Step,Value
1602824149.43601,562,-2.519519090652466
1602824471.2666037,1124,-2.4182074069976807
1602824793.3181834,1686,-2.1662492752075195
1602825115.340875,2248,-1.8628627061843872
1602825437.4507196,2810,-1.7276817560195923
1602825759.6131713,3372,-1.5887056589126587
1602826080.7182324,3934,-1.5054348707199097
1602826402.8643456,4496,-1.4260525703430176
1602826725.2329228,5058,-1.3469927310943604
1602827046.313882,5620,-1.2750002145767212
1602827367.636662,6182,-1.1889898777008057
1602827689.095151,6744,-1.1009857654571533
1602828011.4631872,7306,-1.0651507377624512
1602828333.234802,7868,-1.052314043045044
1602828654.4877567,8430,-1.0524810552597046
1602828977.0480301,8992,-1.0428504943847656
1602829299.4368129,9554,-1.0325475931167603
1602829620.7506917,10116,-1.0349509716033936
1602829943.24656,10678,-1.0275216102600098
1602830264.7187016,11240,-1.0243943929672241
1602830586.0764432,11802,-1.0302172899246216
1602830908.3705044,12364,-1.0241609811782837
1602831229.5760033,12926,-1.0176507234573364
1602831550.883351,13488,-1.0334490537643433
1602831872.039579,14050,-1.0369601249694824
1602832194.0705316,14612,-1.0352927446365356
1602832515.5572374,15174,-1.0361226797103882
1602832838.1027067,15736,-1.0436946153640747
1602833160.7443388,16298,-1.0426766872406006
1602833483.2587593,16860,-1.0394220352172852
1602833804.4737241,17422,-1.0507078170776367
1602834125.8145673,17984,-1.0574640035629272
1602834447.1148765,18546,-1.0489250421524048
1602834768.2792363,19108,-1.0482885837554932
1602835089.4869387,19670,-1.0497392416000366
1602835410.9469056,20232,-1.0592126846313477
1602835732.380125,20794,-1.0541956424713135
1602836053.7862904,21356,-1.0587469339370728
1602836375.0029514,21918,-1.0553327798843384
1602836696.3851995,22480,-1.063260555267334
1602837018.8973827,23042,-1.062065839767456
1602837662.2290378,24166,-1.0581750869750977
1602837983.5560615,24728,-1.05764901638031
1602838305.2118258,25290,-1.059033751487732
1602838626.719857,25852,-1.0590053796768188
1602838948.050414,26414,-1.0597954988479614
1602839269.5799704,26976,-1.0592231750488281
1602839591.1145847,27538,-1.062059998512268
1602839912.4705951,28100,-1.0608547925949097
1602840233.8389404,28662,-1.057389259338379
1602840555.2061987,29224,-1.0583388805389404
1602840876.6383138,29786,-1.0589454174041748
1602841197.7498658,30348,-1.0588734149932861
1602841519.2390952,30910,-1.0573968887329102
1602841840.64223,31472,-1.0571597814559937
1602842161.8964374,32034,-1.056602120399475
1602842483.1327536,32596,-1.0568771362304688
1602842804.4727097,33158,-1.0565221309661865
1602843125.9576015,33720,-1.0564135313034058
1602843447.4147413,34282,-1.0561821460723877
1602843769.3955567,34844,-1.0561068058013916
1602844090.665202,35406,-1.0560656785964966
1602844412.0065968,35968,-1.0560705661773682
1602844733.8547876,36530,-1.0560705661773682
1602845055.568245,37092,-1.0560685396194458
1602845377.3983893,37654,-1.0560848712921143
1602845699.1619265,38216,-1.0562381744384766
1602846022.0715694,38778,-1.05628502368927
1602846343.8493764,39340,-1.0560638904571533
1602846665.6880503,39902,-1.0560340881347656
1602846987.4055178,40464,-1.0556004047393799
1602847309.2572122,41026,-1.0543971061706543
1602847632.4709556,41588,-1.0541521310806274
1602847954.0719643,42150,-1.0538525581359863
1602848275.843346,42712,-1.0548996925354004
1602848597.6303358,43274,-1.0535266399383545
1602848919.4052403,43836,-1.0511724948883057
1602849241.1265037,44398,-1.0529394149780273
1602849562.9337256,44960,-1.052962303161621
1602849884.6080215,45522,-1.0538907051086426
1602850206.3202085,46084,-1.0538668632507324
1602850528.1028266,46646,-1.054755449295044
1602850849.7867103,47208,-1.050455927848816
1602851171.6229868,47770,-1.0549607276916504
1602851493.444049,48332,-1.0533607006072998
1602851815.652698,48894,-1.0501095056533813
1602852137.5061936,49456,-1.0479865074157715
1602852459.6141047,50018,-1.0513168573379517
1602852781.0593743,50580,-1.0470733642578125
1602853104.0351186,51142,-1.0476399660110474
1602853425.791405,51704,-1.0438894033432007
1602853747.6219213,52266,-1.0475850105285645
1602854069.444131,52828,-1.0414644479751587
1602854390.9357836,53390,-1.0386747121810913
1602854713.704297,53952,-1.0494065284729004
1602855035.4036992,54514,-1.0493254661560059
1602855357.1204376,55076,-1.0451909303665161
1602855678.959379,55638,-1.0427935123443604
1602856001.9525573,56200,-1.0493203401565552
1602856323.6354475,56762,-1.052587866783142
1602856645.250782,57324,-1.0380182266235352
1602856966.7902715,57886,-1.0383105278015137
1602857288.2744393,58448,-1.027126669883728
1602857609.5061579,59010,-1.031247615814209
1602857931.1020994,59572,-1.0365012884140015
1602858252.7008386,60134,-1.0312386751174927
1602858574.332898,60696,-1.0375863313674927
