Wall time,Step,Value
1602821126.1544154,3125,-2.3675339221954346
1602821665.1417658,6250,-2.4376025199890137
1602822202.9756818,9375,-2.578866720199585
1602822739.8895783,12500,-2.662921190261841
1602823278.7362342,15625,-2.7267959117889404
1602823815.8694458,18750,-2.7743093967437744
1602824356.1306071,21875,-2.8676726818084717
1602824897.051968,25000,-2.9222846031188965
1602825437.1022637,28125,-2.9736762046813965
1602825976.761778,31250,-2.9525198936462402
1602826514.453076,34375,-2.9498250484466553
1602827052.3153913,37500,-2.9543871879577637
1602827592.4702682,40625,-2.9248712062835693
1602828132.2643864,43750,-2.9298250675201416
1602828671.797857,46875,-2.926863193511963
1602829209.935643,50000,-2.9534242153167725
1602829750.583577,53125,-2.9676523208618164
1602830288.6962764,56250,-2.975233554840088
1602830827.4782062,59375,-2.9719204902648926
1602831368.3260558,62500,-2.9705138206481934
1602831908.277635,65625,-2.9780101776123047
1602832448.3895924,68750,-2.97646164894104
1602832989.1084018,71875,-3.003950595855713
1602833526.6557305,75000,-3.071842908859253
1602834065.0377293,78125,-3.0813822746276855
1602834603.3938181,81250,-3.1023521423339844
1602835144.2341223,84375,-3.1244916915893555
1602835684.3738756,87500,-3.135807752609253
1602836224.8931034,90625,-3.1475374698638916
1602836766.8718488,93750,-3.156874418258667
1602837305.5075998,96875,-3.1357004642486572
1602837843.2162602,100000,-3.146206855773926
1602838381.7350137,103125,-3.1639552116394043
1602838922.6698875,106250,-3.1558663845062256
1602839463.7376087,109375,-3.132774829864502
1602840002.3868232,112500,-3.0970897674560547
1602840540.9521723,115625,-3.0923781394958496
1602841079.518752,118750,-3.1060550212860107
1602841618.3320017,121875,-3.0964510440826416
1602842156.9985383,125000,-3.076150894165039
1602842695.2212632,128125,-3.0685513019561768
1602843771.8138275,134375,-3.050640344619751
1602844310.3588955,137500,-3.0493671894073486
1602844849.2024434,140625,-3.0426454544067383
1602845387.8052347,143750,-3.0349247455596924
1602845926.2758682,146875,-3.0189878940582275
1602846465.5478358,150000,-3.003338098526001
1602847005.2556558,153125,-2.9926657676696777
1602847543.5717416,156250,-2.989428758621216
1602848082.5380218,159375,-2.982722282409668
1602848620.904667,162500,-2.9776511192321777
1602849159.5952544,165625,-2.969851493835449
1602849698.4216423,168750,-2.9680094718933105
1602850238.7324498,171875,-2.9671854972839355
1602850776.9575498,175000,-2.9632575511932373
1602851315.4959502,178125,-2.9581494331359863
1602851854.0231068,181250,-2.955881357192993
1602852392.6499696,184375,-2.955559730529785
1602852931.628834,187500,-2.954779863357544
1602853471.4477673,190625,-2.9544177055358887
1602854009.976793,193750,-2.954000234603882
1602854548.0425081,196875,-2.9539573192596436
1602855086.7718024,200000,-2.953861951828003
1602855625.5930634,203125,-2.953861951828003
1602856164.6370728,206250,-2.9538276195526123
1602856702.6833966,209375,-2.9536428451538086
1602857241.2752132,212500,-2.9534449577331543
1602857779.756737,215625,-2.9524929523468018
1602858318.5970697,218750,-2.9512312412261963
1602858857.370722,221875,-2.951284885406494
1602859395.9956481,225000,-2.9509193897247314
1602859935.2849212,228125,-2.9492437839508057
1602860474.3184772,231250,-2.943932294845581
1602861013.0956967,234375,-2.942215919494629
1602861551.539466,237500,-2.9371931552886963
1602862090.1153731,240625,-2.9341328144073486
1602862629.031543,243750,-2.9271163940429688
1602863169.6368968,246875,-2.9275476932525635
1602863709.7809098,250000,-2.917405605316162
1602864248.1490715,253125,-2.9137072563171387
1602864787.2778566,256250,-2.9171760082244873
1602865328.646151,259375,-2.903903007507324
1602865866.7897677,262500,-2.910787343978882
1602866408.0320868,265625,-2.921189546585083
1602866946.803339,268750,-2.9169485569000244
1602867484.9117637,271875,-2.913226366043091
1602868023.0044136,275000,-2.9049439430236816
1602868560.891262,278125,-2.904646635055542
1602869098.8569157,281250,-2.926640272140503
1602869639.892108,284375,-2.9120044708251953
1602870178.3611634,287500,-2.91201114654541
1602870716.3783844,290625,-2.913347005844116
